Month, #Guests
2012-1,618248
2012-2,615868
2012-3,816785
2012-4,907061
2012-5,994856
2012-6,980172
2012-7,1037084
2012-8,1108549
2012-9,1060750
2012-10,994351
2012-11,778116
2012-12,727719
2013-1,603848
2013-2,631910
2013-3,855430
2013-4,868827
2013-5,1064671
2013-6,974125
2013-7,1049151
2013-8,1135475
2013-9,1055116
2013-10,1016484
2013-11,791705
2013-12,771911
2014-1,617828
2014-2,622232
2014-3,799776
2014-4,917594
2014-5,1030732
2014-6,1023994
2014-7,1068704
2014-8,1191504
2014-9,1087481
2014-10,1056188
2014-11,809713
2014-12,822602
2015-1,664271
2015-2,700785
2015-3,857210
2015-4,962575
2015-5,1148599
2015-6,1137145
2015-7,1232473
2015-8,1303505
2015-9,1166294
2015-10,1116462
2015-11,886347
2015-12,885560
2016-1,719219
2016-2,787955
2016-3,966916
2016-4,998505
2016-5,1192573
2016-6,1177597
2016-7,1353137
2016-8,1377163
2016-9,1259971
2016-10,1218602
2016-11,965342
2016-12,1002110
2017-1,807959
2017-2,848505
2017-3,1037602
2017-4,1173375
2017-5,1309894
2017-6,1335604
2017-7,1416902
2017-8,1441362
2017-9,1357158
2017-10,1300459
2017-11,1049190
2017-12,1066688
2018-1,888869
2018-2,928382
2018-3,1153791
2018-4,1189367
2018-5,1359387
2018-6,1370021
2018-7,1464467
2018-8,1511321
2018-9,1380084
2018-10,1352176
2018-11,1132121
2018-12,1104848
2019-1,912406
2019-2,958024
2019-3,1127159
2019-4,1252174
2019-5,1413131
2019-6,1430055
2019-7,1497954
2019-8,1571803
2019-9,1379829
2019-10,1428394
2019-11,1165102
2019-12,1150845
2020-1,979801
2020-2,977181
2020-3,341415
2020-4,11112
2020-5,65389
2020-6,475523
2020-7,949315
2020-8,1083814
2020-9,723727
2020-10,258670
2020-11,78455
2020-12,138440
2021-1,73687
2021-2,64951
2021-3,56230
2021-4,70105
2021-5,190499
2021-6,645395
